startBlock,endblock,minIncr,txCount,userCount,userCountAcc,newUserCount,buys,sells
18172866,18172891,5,41,26,25,25,40,1
18172892,18172917,5,130,78,85,60,109,20
18172918,18172943,5,193,84,123,38,135,57
18172944,18172969,5,135,80,147,24,80,49
18172970,18172995,5,194,139,222,75,125,56
18172996,18173021,5,279,217,355,133,188,81
18173022,18173047,5,334,255,487,132,224,100
18173048,18173073,5,275,220,595,108,177,87
18173074,18173099,5,382,303,732,137,246,119
18173100,18173125,5,224,187,806,74,128,91
18173126,18173151,5,200,176,884,78,117,69
18173152,18173177,5,269,223,963,79,150,91
18173178,18173203,5,245,192,1028,65,137,94
18173204,18173229,5,274,230,1110,82,155,98
18173230,18173255,5,178,161,1162,52,101,71
18173256,18173281,5,221,189,1206,44,125,81
18173282,18173307,5,164,134,1252,46,87,60
18173308,18173333,5,147,123,1300,48,88,39
18173334,18173359,5,125,105,1326,26,58,52
18173360,18173385,5,175,134,1366,40,88,49
18173386,18173411,5,112,88,1393,27,52,39
18173412,18173437,5,155,107,1427,34,76,43
18173438,18173463,5,95,83,1461,34,46,30
18173464,18173489,5,101,81,1478,17,35,37
18173490,18173515,5,132,95,1501,23,70,45
18173516,18173541,5,141,112,1527,26,71,40
18173542,18173567,5,101,68,1551,24,46,37
18173568,18173593,5,70,59,1573,22,34,15
18173594,18173619,5,134,95,1595,22,66,44
18173620,18173645,5,90,62,1617,22,38,33
18173646,18173671,5,127,85,1648,31,61,41
18173672,18173697,5,140,98,1680,32,70,46
18173698,18173723,5,149,94,1713,33,61,37
18173724,18173749,5,106,71,1728,15,39,35
18173750,18173775,5,109,79,1749,21,49,34
18173776,18173801,5,156,106,1774,25,56,42
